Strain,Stress(Pa)
0.26532663316582916,464076919.23106885
0.2669346733668342,464321107.17884207
0.2685427135678392,464564555.0061002
0.27015075376884423,464807269.4021203
0.27175879396984925,465049256.95601875
0.2733668341708543,465290524.1588383
0.2749748743718593,465531077.4055793
0.2765829145728643,465770922.99717844
0.27819095477386935,466010067.1424331
0.27979899497487437,466248515.95987797
0.2814070351758794,466486275.47961056
0.2830150753768844,466723351.64507127
0.28462311557788944,466959750.3147763
0.28623115577889446,467195477.26400715
0.2878391959798995,467430538.18645686
0.2894472361809045,467664938.6958345
0.29105527638190953,467898684.3274294
0.29266331658291456,468131780.5396365
0.2942713567839196,468364232.71544325
0.2958793969849246,468596046.16388035
0.2974874371859297,468827226.1214363
0.2990954773869347,469057777.75343764
0.30070351758793973,469287706.15539557
